ranking,releasetime,score,star,title
1,上映时间：2018-07-05,9.6,"主演：徐峥,周一围,王传君",我不是药神
2,上映时间：1994-09-10(加拿大),9.5,"主演：蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",肖申克的救赎
3,上映时间：2019-11-15,9.3,"主演：蒂姆·罗斯,比尔·努恩 ,克兰伦斯·威廉姆斯三世",海上钢琴师
4,上映时间：2019-03-01,9.5,"主演：维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼",绿皮书
5,上映时间：1993-07-26,9.4,"主演：张国荣,张丰毅,巩俐",霸王别姬
6,上映时间：2020-01-03,9.3,"主演：罗伯托·贝尼尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克",美丽人生
7,上映时间：1994-09-14(法国),9.4,"主演：让·雷诺,加里·奥德曼,娜塔莉·波特曼",这个杀手不太冷
8,上映时间：2018-08-03,8.1,"主演：中川雅也,安藤樱,松冈茉优",小偷家族
9,上映时间：2014-11-12,9.3,"主演：马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦",星际穿越
10,上映时间：2010-07-26(美国),8.9,"主演：玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因",怦然心动
11,上映时间：2019-07-26,9.6,"主演：吕艳婷,囧森瑟夫,瀚墨",哪吒之魔童降世
12,上映时间：2010-09-01,9,"主演：莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",盗梦空间
13,上映时间：1998-04-03,9.6,"主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",泰坦尼克号
14,上映时间：1994-07-06(美国),9.4,"主演：汤姆·汉克斯,罗宾·怀特,加里·西尼斯",阿甘正传
15,上映时间：1998(罗马尼亚),8.9,"主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",楚门的世界
16,上映时间：2019-06-21,9.3,"主演：柊瑠美,周冬雨,井柏然",千与千寻
17,上映时间：2011-11-02(法国),9.1,"主演：弗朗索瓦·克鲁塞,奥马·希,安娜·勒尼",触不可及
18,上映时间：2017-11-24,9.6,"主演：安东尼·冈萨雷斯,本杰明·布拉特,盖尔·加西亚·贝纳尔",寻梦环游记
19,上映时间：1993-11-30(美国),9.2,"主演：连姆·尼森,拉尔夫·费因斯,本·金斯利",辛德勒的名单
20,上映时间：1999-03-01,8.9,"主演：中山美穗,丰川悦司,酒井美纪",情书
21,上映时间：2012-11-22,9,"主演：苏拉·沙玛,伊尔凡·可汗,塔布",少年派的奇幻漂流
